symbol,company_name,industry,isin
ZENTEC,Zen Technologies Ltd.,Capital Goods,INE251B01027
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,INE520A01027
ECLERX,eClerx Services Ltd.,Services,INE738I01010
AGI,AGI Greenpac Ltd.,Capital Goods,INE415A01038
ASKAUTOLTD,ASK Automotive Ltd.,Automobile and Auto Components,INE491J01022
AARTIDRUGS,Aarti Drugs Ltd.,Healthcare,INE767A01016
AARTIPHARM,Aarti Pharmalabs Ltd.,Healthcare,INE0LRU01027
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,INE00FF01025
ADVENZYMES,Advanced Enzyme Tech Ltd.,Healthcare,INE837H01020
AETHER,Aether Industries Ltd.,Chemicals,INE0BWX01014
AHLUCONT,Ahluwalia Contracts (India) Ltd.,Construction,INE758C01029
AJAXENGG,Ajax Engineering Ltd.,Capital Goods,INE274Y01021
ALIVUS,Alivus Life Sciences Ltd.,Healthcare,INE03Q201024
ALLCARGO,Allcargo Logistics Ltd.,Services,INE418H01029
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,INE552Z01027
ANURAS,Anupam Rasayan India Ltd.,Chemicals,INE930P01018
PARKHOTELS,Apeejay Surrendra Park Hotels Ltd.,Consumer Services,INE988S01028
ACI,Archean Chemical Industries Ltd.,Chemicals,INE128X01021
ARVINDFASN,Arvind Fashions Ltd.,Consumer Services,INE955V01021
ARVIND,Arvind Ltd.,Textiles,INE034A01011
ASHOKA,Ashoka Buildcon Ltd.,Construction,INE442H01029
ASTRAMICRO,Astra Microwave Products Ltd.,Capital Goods,INE386C01029
AURIONPRO,Aurionpro Solution Ltd.,Information Technology,INE132H01018
AVALON,Avalon Technologies Ltd.,Capital Goods,INE0LCL01028
AVANTIFEED,Avanti Feeds Ltd.,Fast Moving Consumer Goods,INE871C01038
AWFIS,Awfis Space Solutions Ltd.,Services,INE108V01019
AZAD,Azad Engineering Ltd.,Capital Goods,INE02IJ01035
BAJAJELEC,Bajaj Electricals Ltd,Consumer Durables,INE193E01025
BALAMINES,Balaji Amines Ltd.,Chemicals,INE050E01027
BALUFORGE,Balu Forge Industries Ltd.,Capital Goods,INE011E01029
BANCOINDIA,Banco Products (India) Ltd.,Automobile and Auto Components,INE213C01025
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,INE894V01022
BBL,Bharat Bijlee Ltd.,Capital Goods,INE464A01036
BIRLACORPN,Birla Corporation Ltd.,Construction Materials,INE340A01012
BLACKBUCK,Blackbuck Ltd.,Services,INE0UIZ01018
BORORENEW,Borosil Renewables Ltd.,Capital Goods,INE666D01022
BOSCH-HCIL,Bosch Home Comfort India Ltd.,Consumer Durables,INE782A01015
CIEINDIA,CIE Automotive India Ltd.,Automobile and Auto Components,INE536H01010
CMSINFO,CMS Info Systems Ltd.,Services,INE925R01014
CSBBANK,CSB Bank Ltd.,Financial Services,INE679A01013
CARTRADE,Cartrade Tech Ltd.,Consumer Services,INE290S01011
CEIGALL,Ceigall India Ltd.,Construction,INE0AG901020
CELLO,Cello World Ltd.,Consumer Durables,INE0LMW01024
CEMPRO,Cemindia Projects Ltd.,Construction,INE686A01026
CIGNITITEC,Cigniti Technologies Ltd.,Information Technology,INE675C01017
CYIENTDLM,Cyient DLM Ltd.,Capital Goods,INE055S01018
DCBBANK,DCB Bank Ltd.,Financial Services,INE503A01015
DATAMATICS,Datamatics Global Services Ltd.,Information Technology,INE365B01017
DHANUKA,Dhanuka Agritech Ltd.,Chemicals,INE435G01025
DIACABS,Diamond Power Infrastructure Ltd.,Capital Goods,INE989C01038
DBL,Dilip Buildcon Ltd.,Construction,INE917M01012
DCAL,Dishman Carbogen Amcis Ltd.,Healthcare,INE385W01011
DODLA,Dodla Dairy Ltd.,Fast Moving Consumer Goods,INE021O01019
DUMMYALCAR,Dummy Allcargo Logistics Ltd.,Services,DUM418H01029
DYNAMATECH,Dynamatic Technologies Ltd.,Capital Goods,INE221B01012
EPL,EPL Ltd.,Capital Goods,INE255A01020
EASEMYTRIP,Easy Trip Planners Ltd.,Consumer Services,INE07O001026
EDELWEISS,Edelweiss Financial Services Ltd.,Financial Services,INE532F01054
EMIL,Electronics Mart India Ltd.,Consumer Services,INE02YR01019
ELECTCAST,Electrosteel Castings Ltd.,Capital Goods,INE086A01029
EMBDL,Embassy Developments Ltd.,Realty,INE069I01010
ENTERO,Entero Healthcare Solutions Ltd.,Consumer Services,INE010601016
EIEL,Enviro Infra Engineers Ltd.,Utilities,INE0LLY01014
EPIGRAL,Epigral Ltd.,Chemicals,INE071N01016
EQUITASBNK,Equitas Small Finance Bank Ltd.,Financial Services,INE063P01018
ETHOSLTD,Ethos Ltd.,Consumer Durables,INE04TZ01018
EUREKAFORB,Eureka Forbes Ltd.,Consumer Durables,INE0KCE01017
FDC,FDC Ltd.,Healthcare,INE258B01022
FIEMIND,Fiem Industries Ltd,Automobile and Auto Components,INE737H01014
FINEORG,Fine Organic Industries Ltd.,Chemicals,INE686Y01026
GRINFRA,G R Infraprojects Ltd.,Construction,INE201P01022
GHCL,GHCL Ltd.,Chemicals,INE539A01019
GMMPFAUDLR,GMM Pfaudler Ltd.,Capital Goods,INE541A01023
GMRP&UI,GMR Power and Urban Infra Ltd.,Power,INE0CU601026
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,INE524A01029
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,INE297H01019
GANESHHOU,Ganesh Housing Ltd.,Realty,INE460C01014
GANECOS,Ganesha Ecosphere Ltd.,Textiles,INE845D01014
GRWRHITECH,Garware Hi-Tech Films Ltd.,Capital Goods,INE291A01017
GARFIBRES,Garware Technical Fibres Ltd.,Textiles,INE276A01018
GATEWAY,Gateway Distriparks Ltd.,Services,INE079J01017
GOKEX,Gokaldas Exports Ltd.,Textiles,INE887G01027
GREAVESCOT,Greaves Cotton Ltd.,Capital Goods,INE224A01026
GREENPANEL,Greenpanel Industries Ltd.,Consumer Durables,INE08ZM01014
GAEL,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,INE036B01030
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,INE113A01013
GPPL,Gujarat Pipavav Port Ltd.,Services,INE517F01014
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,INE026A01025
GULFOILLUB,Gulf Oil Lubricants India Ltd.,Oil Gas & Consumable Fuels,INE635Q01029
HGINFRA,H.G. Infra Engineering Ltd.,Construction,INE926X01010
HCG,Healthcare Global Enterprises Ltd.,Healthcare,INE075I01017
HEMIPROP,Hemisphere Properties India Ltd.,Services,INE0AJG01018
HERITGFOOD,Heritage Foods Ltd.,Fast Moving Consumer Goods,INE978A01027
HIKAL,Hikal Ltd.,Healthcare,INE475B01022
HCC,Hindustan Construction Co. Ltd.,Construction,INE549A01026
IFBIND,IFB Industries Ltd.,Consumer Durables,INE559A01017
IIFLCAPS,IIFL Capital Services Ltd.,Financial Services,INE489L01022
IMAGICAA,Imagicaaworld Entertainment Ltd.,Consumer Services,INE172N01012
INDIAGLYCO,India Glycols Ltd.,Fast Moving Consumer Goods,INE560A01023
INDIASHLTR,India Shelter Finance Corporation Ltd.,Financial Services,INE922K01024
IMFA,Indian Metals & Ferro Alloys Ltd.,Metals & Mining,INE919H01018
INDIGOPNTS,Indigo Paints Ltd.,Consumer Durables,INE09VQ01012
ICIL,Indo Count Industries Ltd.,Textiles,INE483B01026
INFIBEAM,Infibeam Avenues Ltd.,Financial Services,INE483S01020
INGERRAND,Ingersoll Rand (India) Ltd.,Capital Goods,INE177A01018
INNOVACAP,Innova Captab Ltd.,Healthcare,INE0DUT01020
INOXGREEN,Inox Green Energy Services Ltd.,Power,INE510W01014
IONEXCHANG,Ion Exchange (India) Ltd.,Utilities,INE570A01022
ISGEC,Isgec Heavy Engineering Ltd.,Construction,INE858B01029
JKIL,J.Kumar Infraprojects Ltd.,Construction,INE576I01022
JKLAKSHMI,JK Lakshmi Cement Ltd.,Construction Materials,INE786A01032
JKPAPER,JK Paper Ltd.,Forest Materials,INE789E01012
JAIBALAJI,Jai Balaji Industries Ltd.,Metals & Mining,INE091G01026
JISLJALEQS,Jain Irrigation Systems Ltd.,Capital Goods,INE175A01038
JAMNAAUTO,Jamna Auto Industries Ltd.,Automobile and Auto Components,INE039C01032
JSFB,Jana Small Finance Bank Ltd.,Financial Services,INE953L01027
JINDWORLD,Jindal Worldwide Ltd.,Textiles,INE247D01039
JUSTDIAL,Justdial Ltd.,Consumer Services,INE599M01018
KNRCON,KNR Constructions Ltd.,Construction,INE634I01029
KPIGREEN,KPI Green Energy Ltd.,Power,INE542W01025
KRBL,KRBL Ltd.,Fast Moving Consumer Goods,INE001B01026
KRN,KRN Heat Exchanger and Refrigeration Ltd.,Capital Goods,INE0Q3J01015
KSL,Kalyani Steels Ltd.,Capital Goods,INE907A01026
KANSAINER,Kansai Nerolac Paints Ltd.,Consumer Durables,INE531A01024
KTKBANK,Karnataka Bank Ltd.,Financial Services,INE614B01018
KSCL,Kaveri Seed Company Ltd.,Fast Moving Consumer Goods,INE455I01029
KIRLPNU,Kirloskar Pneumatic Company Ltd.,Capital Goods,INE811A01020
KITEX,Kitex Garments Ltd.,Textiles,INE602G01020
LMW,LMW Ltd.,Capital Goods,INE269B01029
LXCHEM,Laxmi Organic Industries Ltd.,Chemicals,INE576O01020
IXIGO,Le Travenues Technology Ltd.,Consumer Services,INE0HV901016
LLOYDSENGG,Lloyds Engineering Works Ltd.,Capital Goods,INE093R01011
LLOYDSENT,Lloyds Enterprises Ltd.,Metals & Mining,INE080I01025
LUMAXTECH,Lumax Auto Technologies Ltd.,Automobile and Auto Components,INE872H01027
LUXIND,Lux Industries Ltd.,Textiles,INE150G01020
MOIL,MOIL Ltd.,Metals & Mining,INE490G01020
MSTCLTD,MSTC Ltd.,Services,INE255X01014
MTARTECH,MTAR Technologies Ltd.,Capital Goods,INE864I01014
MAHLIFE,Mahindra Lifespace Developers Ltd.,Realty,INE813A01018
MANINFRA,Man Infraconstruction Ltd.,Construction,INE949H01023
MANORAMA,Manorama Industries Ltd.,Fast Moving Consumer Goods,INE00VM01036
MARKSANS,Marksans Pharma Ltd.,Healthcare,INE750C01026
MASTEK,Mastek Ltd.,Information Technology,INE759A01021
MAXESTATES,Max Estates Ltd.,Realty,INE03EI01018
MEDPLUS,Medplus Health Services Ltd.,Consumer Services,INE804L01022
MIDHANI,Mishra Dhatu Nigam Ltd.,Capital Goods,INE099Z01011
BECTORFOOD,Mrs. Bectors Food Specialities Ltd.,Fast Moving Consumer Goods,INE495P01020
NEOGEN,NEOGEN CHEMICALS LTD.,Chemicals,INE136S01016
NESCO,NESCO Ltd.,Services,INE317F01035
NFL,National Fertilizers Ltd.,Chemicals,INE870D01012
NAZARA,Nazara Technologies Ltd.,Media Entertainment & Publication,INE418L01047
NETWORK18,Network18 Media & Investments Ltd.,Media Entertainment & Publication,INE870H01013
OPTIEMUS,Optiemus Infracom Ltd.,Telecommunication,INE350C01017
ORCHPHARMA,Orchid Pharma Ltd.,Healthcare,INE191A01027
ORIENTCEM,Orient Cement Ltd.,Construction Materials,INE876N01018
OSWALPUMPS,Oswal Pumps Ltd.,Capital Goods,INE0BYP01024
PNGJL,P N Gadgil Jewellers Ltd.,Consumer Durables,INE953R01016
PCJEWELLER,PC Jeweller Ltd.,Consumer Durables,INE785M01021
PNCINFRA,PNC Infratech Ltd.,Construction,INE195J01029
PTC,PTC India Ltd.,Power,INE877F01012
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,INE088F01024
PARAS,Paras Defence and Space Technologies Ltd.,Capital Goods,INE045601023
PATELENG,Patel Engineering Ltd.,Construction,INE244B01030
PGIL,Pearl Global Industries Ltd.,Textiles,INE940H01022
POLYPLEX,Polyplex Corporation Ltd.,Capital Goods,INE633B01018
POWERMECH,Power Mech Projects Ltd.,Construction,INE211R01019
PRICOLLTD,Pricol Ltd.,Automobile and Auto Components,INE726V01018
PRINCEPIPE,Prince Pipes and Fittings Ltd.,Capital Goods,INE689W01016
PRSMJOHNSN,Prism Johnson Ltd.,Construction Materials,INE010A01011
PRIVISCL,Privi Speciality Chemicals Ltd.,Chemicals,INE959A01019
PRUDENT,Prudent Corporate Advisory Services Ltd.,Financial Services,INE00F201020
PURVA,Puravankara Ltd.,Realty,INE323I01011
QUESS,Quess Corp Ltd.,Services,INE615P01015
RAIN,Rain Industries Ltd,Chemicals,INE855B01025
RALLIS,Rallis India Ltd.,Chemicals,INE613A01020
RATEGAIN,Rategain Travel Technologies Ltd.,Information Technology,INE0CLI01024
RATNAMANI,Ratnamani Metals & Tubes Ltd.,Capital Goods,INE703B01027
RTNINDIA,RattanIndia Enterprises Ltd.,Consumer Services,INE834M01019
RTNPOWER,RattanIndia Power Ltd.,Power,INE399K01017
RAYMONDLSL,Raymond Lifestyle Ltd.,Textiles,INE02ID01020
REFEX,Refex Industries Ltd.,Chemicals,INE056I01025
RELAXO,Relaxo Footwears Ltd.,Consumer Durables,INE131B01039
RELIGARE,Religare Enterprises Ltd.,Financial Services,INE621H01010
RBA,Restaurant Brands Asia Ltd.,Consumer Services,INE07T201019
ROUTE,Route Mobile Ltd.,Telecommunication,INE450U01017
SKYGOLD,SKY GOLD AND DIAMONDS Ltd.,Consumer Durables,INE01IU01018
SAFARI,Safari Industries (India) Ltd.,Consumer Durables,INE429E01023
SAMHI,Samhi Hotels Ltd.,Consumer Services,INE08U801020
SANDUMA,Sandur Manganese & Iron Ores Ltd.,Oil Gas & Consumable Fuels,INE149K01016
SANOFICONR,Sanofi Consumer Healthcare India Ltd.,Healthcare,INE0UOS01011
SANOFI,Sanofi India Ltd.,Healthcare,INE058A01010
SANSERA,Sansera Engineering Ltd.,Automobile and Auto Components,INE953O01021
SENCO,Senco Gold Ltd.,Consumer Durables,INE602W01027
SEQUENT,Sequent Scientific Ltd.,Healthcare,INE807F01027
SHAILY,Shaily Engineering Plastics Ltd.,Capital Goods,INE151G01028
SHAKTIPUMP,Shakti Pumps (India) Ltd.,Capital Goods,INE908D01010
SHARDACROP,Sharda Cropchem Ltd.,Chemicals,INE221J01015
SHARDAMOTR,Sharda Motor Industries Ltd.,Automobile and Auto Components,INE597I01028
SHAREINDIA,Share India Securities Ltd.,Financial Services,INE932X01026
SFL,Sheela Foam Ltd.,Consumer Durables,INE916U01025
SHILPAMED,Shilpa Medicare Ltd.,Healthcare,INE790G01031
RENUKA,Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,INE087H01022
SHRIPISTON,Shriram Pistons & Rings Ltd.,Automobile and Auto Components,INE526E01018
SKIPPER,Skipper Ltd.,Capital Goods,INE439E01022
SOUTHBANK,South Indian Bank Ltd.,Financial Services,INE683A01023
STARCEMENT,Star Cement Ltd.,Construction Materials,INE460H01021
SWSOLAR,Sterling and Wilson Renewable Energy Ltd.,Construction,INE00M201021
STLTECH,Sterlite Technologies Ltd.,Telecommunication,INE089C01029
STAR,Strides Pharma Science Ltd.,Healthcare,INE939A01011
STYRENIX,Styrenix Performance Materials Ltd.,Chemicals,INE189B01011
SUBROS,Subros Ltd.,Capital Goods,INE287B01021
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,Chemicals,INE659A01023
SPARC,Sun Pharma Advanced Research Company Ltd.,Healthcare,INE232I01014
SUNFLAG,Sunflag Iron & Steel Company Ltd.,Capital Goods,INE947A01014
SUNTECK,Sunteck Realty Ltd.,Realty,INE805D01034
SUPRIYA,Supriya Lifescience Ltd.,Healthcare,INE07RO01027
SURYAROSNI,Surya Roshni Ltd.,Capital Goods,INE335A01020
SYMPHONY,Symphony Ltd.,Consumer Durables,INE225D01027
TARC,TARC Ltd.,Realty,INE0EK901012
TDPOWERSYS,TD Power Systems Ltd.,Capital Goods,INE419M01027
TSFINV,TSF Investments Ltd.,Financial Services,INE202Z01029
TVSSCS,TVS Supply Chain Solutions Ltd.,Services,INE395N01027
TANLA,Tanla Platforms Ltd.,Information Technology,INE483C01032
TEAMLEASE,Teamlease Services Ltd.,Services,INE985S01024
TEGA,Tega Industries Ltd.,Capital Goods,INE011K01018
TEXRAIL,Texmaco Rail & Eng. Ltd.,Capital Goods,INE621L01012
THANGAMAYL,Thangamayil Jewellery Ltd.,Consumer Durables,INE085J01014
ANUP,The Anup Engineering Ltd.,Capital Goods,INE294Z01018
THOMASCOOK,Thomas Cook (India) Ltd.,Consumer Services,INE332A01027
THYROCARE,Thyrocare Technologies Ltd.,Healthcare,INE594H01019
TI,Tilaknagar Industries Ltd.,Fast Moving Consumer Goods,INE133E01013
TIMETECHNO,Time Technoplast Ltd.,Capital Goods,INE508G01029
TIPSMUSIC,Tips Music Ltd.,Media Entertainment & Publication,INE716B01029
TRANSRAILL,Transrail Lighting Ltd.,Capital Goods,INE454P01035
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,Financial Services,INE551W01018
UNIMECH,Unimech Aerospace and Manufacturing Ltd.,Capital Goods,INE0U3I01011
VMART,V-Mart Retail Ltd.,Consumer Services,INE665J01013
VIPIND,V.I.P. Industries Ltd.,Consumer Durables,INE054A01027
V2RETAIL,V2 Retail Ltd.,Consumer Services,INE945H01013
VSTIND,VST Industries Ltd.,Fast Moving Consumer Goods,INE710A01016
WABAG,Va Tech Wabag Ltd.,Utilities,INE956G01038
VAIBHAVGBL,Vaibhav Global Ltd.,Consumer Durables,INE884A01027
VARROC,Varroc Engineering Ltd.,Automobile and Auto Components,INE665L01035
VESUVIUS,Vesuvius India Ltd.,Capital Goods,INE386A01023
VINATIORGA,Vinati Organics Ltd.,Chemicals,INE410B01037
VOLTAMP,Voltamp Transformers Ltd,Capital Goods,INE540H01012
WAAREERTL,Waaree Renewable Technologies Ltd.,Capital Goods,INE299N01021
WEBELSOLAR,Websol Energy System Ltd.,Capital Goods,INE855C01023
WELENT,Welspun Enterprises Ltd.,Construction,INE625G01013
WESTLIFE,Westlife Foodworld Ltd.,Consumer Services,INE274F01020
YATHARTH,Yatharth Hospital & Trauma Care Services Ltd.,Healthcare,INE0JO301016
ZAGGLE,Zaggle Prepaid Ocean Services Ltd.,Information Technology,INE07K301024
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,INE768C01028
EMUDHRA,eMudhra Ltd.,Information Technology,INE01QM01018
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,INE531F01015
